time,latitude,longitude,depth,mag
2018-03-02T19:08:20.310Z,38.0838,-1.4581,9.32,3.9
2018-03-05T06:05:50.210Z,35.3294,22.1886,10.0,4.5
2018-03-05T21:50:36.900Z,43.9889,12.0041,10.0,4.4
2018-03-07T20:15:19.040Z,39.5154,14.3774,354.21,4.4
2018-03-08T16:42:36.260Z,37.1759,10.3249,11.42,4.7
2018-03-13T11:02:28.820Z,37.3641,20.9313,10.0,4.4
2018-03-14T10:24:49.490Z,45.6876,26.5892,141.48,4.7
2018-03-21T22:56:04.490Z,64.5653,-17.7455,7.1,4.3
2018-03-22T23:40:26.790Z,39.3156,15.4225,255.89,4.2
2018-03-23T23:31:55.390Z,40.8246,17.6339,11.85,4.1
2018-03-26T20:18:33.840Z,35.0366,27.7413,10.29,4.1
2018-03-26T23:24:08.510Z,35.0054,27.8114,10.0,4.0
2018-03-27T08:11:53.280Z,39.1854,20.6489,10.0,4.2
2018-03-28T13:28:10.930Z,37.8745,20.3067,10.0,4.4
2018-03-31T01:18:45.670Z,42.4263,13.4484,10.98,4.1
